Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 50.202205656137444
current distance: 49.880705828220314
current distance: 49.648963832602206
current distance: 49.437422912680105
current distance: 49.24482054034364
current distance: 49.80887362375741
current distance: 49.67666116344674
current distance: 49.40197097536065
current distance: 49.22807646548955
current distance: 49.19234840359888
current distance: 49.11163117658132
current distance: 49.19869673864646
current distance: 50.8722739433698
current distance: 50.12920059217871
current distance: 49.826738124648855
current distance: 50.266340614531316
current distance: 50.604320108582755
current distance: 50.38134499192548
current distance: 50.07246828419199
current distance: 49.9648942365866
current distance: 49.90551297723975
current distance: 49.857847636475846
current distance: 49.7961194102468
current distance: 49.83554312947147
current distance: 49.92833460301263
current distance: 51.55157846295203
current distance: 50.71980138924399
current distance: 50.501508955271
current distance: 50.89599799447961
current distance: 50.62103090309371
current distance: 50.50205857307176
current distance: 50.43329566412096
current distance: 50.85979263154719
current distance: 50.63349628095624
current distance: 51.04435938709879
current distance: 50.75744736844296
current distance: 50.63028336559615
current distance: 50.56241806215257
current distance: 50.99420122154085
current distance: 50.7869888245437
current distance: 50.70316417874165
current distance: 51.1272119026549
current distance: 50.98585616765716
current distance: 50.880175131127416
current distance: 51.27837726896493
current distance: 51.6198605429817
current distance: 51.88938818071874
current distance: 51.62969133233278
current distance: 51.384499764350245
current distance: 51.34849906651138
current distance: 51.338531573554555
current distance: 51.27951363446921
current distance: 51.321831489153105
current distance: 51.67919175323848
current distance: 51.60764140809364
current distance: 51.689635370945524
current distance: 51.69529207861213
current distance: 52.01916850392696
current distance: 52.0741643961491
current distance: 52.40635781017959
current distance: 52.33915227046303
current distance: 52.371655877584374
current distance: 53.93674126891752
current distance: 53.06064052910812
current distance: 52.83249895988306
current distance: 53.179879646716834
current distance: 52.99766334464588
current distance: 52.90460693350405
current distance: 52.97396586686022
current distance: 53.043224878236636
current distance: 53.095686857217956
current distance: 53.05345715814153
current distance: 53.102185498731096
current distance: 53.250910364378846
current distance: 53.36816177934948
current distance: 53.373933826078485
current distance: 54.893092480528274
current distance: 54.87757474199315
current distance: 54.940647983029315
current distance: 54.65935938480827
current distance: 54.38292376711858
current distance: 55.77396674814964
current distance: 54.93159747661395
current distance: 54.76177173987434
current distance: 55.008847896054675
current distance: 54.95803852200188
current distance: 54.95359662458782
current distance: 55.16167016228022
current distance: 56.55293407257106
current distance: 57.44876988761874
current distance: 56.68142124274576
current distance: 55.67773930910687
current distance: 55.56392638837023
current distance: 55.59964241819722
current distance: 55.806166229059684
current distance: 55.893966023115205
current distance: 56.13513706107459
current distance: 57.41032354211067
current distance: 57.17070568847487
current distance: 56.66782465101622
current distance: 56.685252698367876
current distance: 56.68822314845498
current distance: 57.681727227691646
current distance: 56.496851114871944
current distance: 57.55146636623978
current distance: 57.23410841061906
current distance: 57.01218228529571
current distance: 56.88457048553073
current distance: 56.392897492146005
current distance: 55.665746758296024
current distance: 55.294285166649225
current distance: 55.205848798438225
current distance: 55.12656606972429
current distance: 55.18552010945919
current distance: 55.129668905632194
current distance: 55.1733068916514
current distance: 55.27414737342528
current distance: 55.30116423445194
current distance: 55.35615300727772
current distance: 55.43499637565679
current distance: 55.46607603211856
current distance: 55.468494178050264
current distance: 55.275076519818406
current distance: 55.467978812406095
current distance: 56.8400517813939
current distance: 55.75834030314202
current distance: 55.89062026814033
current distance: 55.97894617983062
current distance: 55.64493871655259
current distance: 55.84087731215594
current distance: 55.62191299057514
current distance: 55.53844974155008
current distance: 55.56468618298523
current distance: 55.560412320147634
current distance: 55.54380088459089
current distance: 55.518672526657184
current distance: 55.46233187530403
current distance: 55.40798891448803
current distance: 55.36916700128925
current distance: 55.28007001160324
current distance: 55.22828914129939
current distance: 55.16615786657682
current distance: 55.122991776600244
current distance: 54.775282566066444
current distance: 54.83327552813756
current distance: 54.91181066703582
current distance: 54.832169062601636
current distance: 56.20276392241651
current distance: 55.08321163285443
current distance: 56.492264673643625
current distance: 55.33393662724681
current distance: 54.997353412932405
current distance: 54.8508544431918
current distance: 54.82460856286833
current distance: 56.00907865173693
current distance: 54.805729374324216
current distance: 54.58005506570372
current distance: 54.55337488067918
current distance: 55.815784895383466
current distance: 55.53353668939598
current distance: 55.3723736104532
current distance: 43.41820155486459
current distance: 41.82605647741699
current distance: 40.9308070286971
current distance: 40.56426851791015
current distance: 40.26535653858327
current distance: 40.06187358618947
current distance: 39.89259106956577
current distance: 39.660090377317175
current distance: 39.934427454452546
current distance: 39.32131379056131
current distance: 39.02359976437765
current distance: 38.66376178978953
current distance: 38.299276256315714
current distance: 37.920827906960646
current distance: 37.52611127970849
current distance: 37.13002470509441
current distance: 36.414881932797364
current distance: 36.41539365490926
current distance: 36.6719808116307
current distance: 36.830844847889914
current distance: 37.01541521454415
current distance: 37.3249136533659
current distance: 37.38786206860426
current distance: 37.609818866625496
current distance: 37.63118639280131
current distance: 37.496901217485664
current distance: 37.555461813869016
current distance: 37.579157307967144
current distance: 37.57677438489179
current distance: 37.27289149951337
current distance: 37.186544400882575
current distance: 37.20858353475006
current distance: 36.89513169145547
current distance: 36.80902182541546
current distance: 36.824006040713364
current distance: 37.05604882643516
current distance: 37.15246110460095
current distance: 37.07270183757947
current distance: 37.33219752809608
current distance: 36.83597526379951
current distance: 36.79341994161497
current distance: 36.76557155432633
current distance: 36.617552741133316
current distance: 36.6916552527668
current distance: 36.47351868504153
current distance: 36.32704081427294
current distance: 35.88330290585879
current distance: 36.36366171964505
current distance: 36.511181136052876
current distance: 36.39537931544452
current distance: 35.56186277529749
current distance: 35.677558620738154
current distance: 35.492877413928376
current distance: 35.41643092524734
current distance: 35.958992023901196
current distance: 36.036453193481705
current distance: 35.8575416743492
current distance: 35.72526254473477
current distance: 35.633445802768826
current distance: 35.629995539067394
current distance: 36.02500446840406
current distance: 35.84858484026468
current distance: 35.66690102024193
current distance: 35.56313120803632
current distance: 35.96836527106218
current distance: 35.835616820390285
current distance: 35.721182694865
current distance: 35.658787583484774
current distance: 35.641181084318994
current distance: 36.0584437322039
current distance: 35.86499232445741
current distance: 35.73189036964491
current distance: 36.01149934594063
current distance: 35.588918130003925
current distance: 35.42873790651387
current distance: 35.173356233663284
current distance: 35.816521831157225
current distance: 35.64111524866406
current distance: 35.452982209143954
current distance: 35.34580219728522
current distance: 35.23213815492691
current distance: 35.16629362507113
current distance: 35.09287569194681
current distance: 35.12056573016088
current distance: 35.63190379882887
current distance: 35.588473885771165
current distance: 35.390607275160455
current distance: 35.13535830168908
current distance: 35.305659591849185
