  90 | ROTATE   |     0 |  -19.8 |     0 |        0 |   -0.00
 100 | ROT_REV  |     0 |  -20.1 |     0 |        0 |    0.03
 110 | ROT_REV  |     0 |  -19.7 |     0 |        0 |    0.03
 120 | RELEASE  |     0 |  -19.7 |     0 |        0 |    0.03
 130 | GRASP    |     0 |  -18.8 |     0 |        0 |    0.14
 140 | GRASP    |     0 |  -24.4 |     0 |        0 |    0.13
 150 | ROTATE   |     0 |  -23.6 |     0 |        0 |   -0.02
 160 | RELEASE  |     0 |  -25.6 |     0 |        0 |   -0.92
 170 | ROTATE   |     0 |  -25.7 |     0 |        0 |    0.01
 180 | ROT_REV  |     0 |  -25.1 |     0 |        0 |    0.02
 190 | HOLD     |     0 |  -26.4 |     0 |        0 |    0.03
 200 | RELEASE  |     0 |  -31.6 |     0 |        0 |    0.02
 210 | ROTATE   |     0 |  -31.6 |     0 |        0 |    0.02
 220 | ROT_REV  |     0 |  -31.6 |     0 |        0 |    0.03
 230 | ROTATE   |     0 |  -31.6 |     0 |        0 |    0.03
 240 | GRASP    |     0 |  -37.8 |     0 |        0 |    0.02
 250 | ROTATE   |     0 |  -38.8 |     0 |        0 |    0.02
 260 | GRASP    |     4 |  -41.5 |     1 |        0 |   -1.54
 270 | ROT_REV  |     0 |  -42.6 |     0 |        0 |   -0.03
 280 | ROT_REV  |     0 |  -42.8 |     0 |        0 |    0.04
 290 | GRASP    |     0 |  -42.3 |     0 |        0 |    0.03
 300 | ROT_REV  |     0 |  -42.6 |     0 |        0 |    0.04

*** TRUNCATED at step 300 (max steps reached) ***

----------------------------------------------------------------------
Step | Action   | State | Z-Rot  | Speed | Progress | Reward
----------------------------------------------------------------------
  10 | HOLD     |     0 |  -15.9 |     0 |        0 |   -2.46
  20 | HOLD     |     0 |   -8.4 |     0 |        0 |    0.02
  30 | ROT_REV  |     0 |   -8.0 |     0 |        0 |    0.13
  40 | ROTATE   |     0 |   -7.2 |     0 |        0 |    0.10
  50 | ROT_REV  |     0 |   -5.7 |     0 |        0 |    0.07
  60 | HOLD     |     0 |   -5.9 |     0 |        0 |    0.04
  70 | GRASP    |     0 |   -5.0 |     0 |        0 |    0.13
  80 | RELEASE  |     4 |  -11.2 |     1 |        0 |   -2.32
  90 | ROTATE   |     0 |  -14.0 |     0 |        0 |    0.07
 100 | HOLD     |     0 |  -11.8 |     0 |        0 |   -0.10
 110 | ROTATE   |     0 |  -12.1 |     0 |        0 |    0.23
 120 | HOLD     |     0 |  -16.4 |     0 |        0 |   -0.11
 130 | GRASP    |     0 |  -16.2 |     0 |        0 |    0.28
 140 | ROTATE   |     0 |  -11.7 |     0 |        0 |    0.00
 150 | ROTATE   |     0 |  -11.1 |     0 |        0 |    0.05
 160 | ROTATE   |     0 |  -11.5 |     0 |        0 |    0.04
 170 | RELEASE  |     0 |  -11.8 |     0 |        0 |    0.11
 180 | HOLD     |     0 |  -12.3 |     0 |        0 |    0.05
 190 | HOLD     |     0 |   -9.5 |     0 |        0 |    0.06
 200 | ROTATE   |     0 |   -4.0 |     0 |        0 |    0.46
 210 | RELEASE  |     1 |    2.4 |     0 |        1 |    0.14
 220 | GRASP    |     1 |    3.7 |     0 |        1 |    0.02
 230 | RELEASE  |     1 |   11.0 |     0 |        1 |    0.25
 240 | ROT_REV  |     6 |   21.4 |     1 |        2 |    1.04
 242 | RELEASE  |     7 |   25.8 |     1 |        3 |   22.90

*** TERMINATED at step 242 ***
 243 | RELEASE  |     3 |   26.6 |     0 |        3 |   20.14

*** TERMINATED at step 243 ***
 244 | RELEASE  |     3 |   26.6 |     0 |        3 |   20.00

*** TERMINATED at step 244 ***
 245 | HOLD     |     3 |   26.5 |     0 |        3 |   20.01

*** TERMINATED at step 245 ***
 246 | ROT_REV  |     3 |   26.5 |     0 |        3 |   20.02

*** TERMINATED at step 246 ***
 247 | ROT_REV  |     3 |   26.5 |     0 |        3 |   19.99

*** TERMINATED at step 247 ***
